time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-13T07:29:11.994Z,41.886,-119.6241,8.5,2.7,ml,5,122.32,0.144,0.1614,nn,nn00476863,2018-06-29T23:43:22.228Z,"68km ESE of Lakeview, Oregon",earthquake,,6.7,0.43,5,reviewed,nn,nn
2015-01-13T08:18:35.089Z,41.8943,-119.629,9.5,2.7,ml,6,121.69,0.136,0.1713,nn,nn00476874,2018-06-29T23:43:22.537Z,"67km ESE of Lakeview, Oregon",earthquake,,3.9,0.37,6,reviewed,nn,nn
2015-01-13T09:54:03.310Z,41.8921,-119.6342,9.6,3,ml,6,130.86,0.134,0.1736,nn,nn00476895,2018-06-29T23:43:22.647Z,"67km ESE of Lakeview, Oregon",earthquake,,3.2,0.5,6,reviewed,nn,nn
2015-01-13T11:12:09.880Z,40.3203333,-124.6796667,17.491,2.62,md,37,266,0.3018,0.18,nc,nc72380471,2017-02-07T01:23:43.982Z,"45km SW of Ferndale, California",earthquake,0.54,0.29,0.158,36,reviewed,nc,nc
2015-01-13T11:51:03.870Z,39.7556667,-120.6158333,5.716,2.63,md,19,87,0.07297,0.08,nc,nc72380496,2018-06-29T23:43:40.625Z,"13km WSW of Portola, California",earthquake,0.29,0.76,0.16,42,reviewed,nc,nc
2015-01-13T17:37:19.449Z,41.8594,-119.6357,10.7,2.7,ml,6,123.01,0.152,0.1705,nn,nn00476960,2018-06-29T23:43:26.552Z,"69km ESE of Lakeview, Oregon",earthquake,,3,0.5,6,reviewed,nn,nn
2015-01-13T20:16:28.278Z,41.8581,-119.6443,6.8,2.5,ml,5,122.66,0.148,0.1942,nn,nn00477023,2018-06-29T23:43:29.925Z,"68km ESE of Lakeview, Oregon",earthquake,,5.3,0.41,5,reviewed,nn,nn
2015-01-14T10:38:48.200Z,40.3251667,-124.6253333,15.909,2.98,md,47,234,0.2604,0.15,nc,nc72381006,2017-02-07T01:34:30.780Z,"41km SW of Ferndale, California",earthquake,0.59,0.49,0.121,92,reviewed,nc,nc
2015-01-14T10:44:35.040Z,40.3195,-124.6121667,16.159,4.28,mw,47,233,0.2505,0.12,nc,nc72381011,2017-03-17T23:29:26.988Z,"41km SW of Ferndale, California",earthquake,0.56,0.42,,9,reviewed,nc,nc
2015-01-16T10:39:55.610Z,38.8123333,-122.8196667,1.96,2.56,md,75,22,0.008108,0.06,nc,nc72382136,2017-02-07T01:52:34.230Z,"6km NW of The Geysers, California",earthquake,0.11,0.18,0.179,63,reviewed,nc,nc
2015-01-16T19:24:31.824Z,41.9032,-119.6358,7.5,3,ml,7,120.94,0.128,0.2119,nn,nn00477529,2018-06-29T23:43:53.642Z,"66km ESE of Lakeview, Oregon",earthquake,,3.6,0.32,7,reviewed,nn,nn
2015-01-19T04:00:55.310Z,49.4961,-128.9988,23.12,3.9,mwr,,190,2.75,1.44,us,usc000tk19,2015-04-20T16:05:35.040Z,"175km SW of Port Hardy, Canada",earthquake,10.2,8.1,,,reviewed,us,pgc
2015-01-19T08:19:52.250Z,40.2051667,-121.1565,2.935,2.98,ml,57,80,0.06486,0.22,nc,nc72383056,2017-02-07T02:09:12.020Z,"12km SSE of Chester, California",earthquake,0.24,0.84,0.189,24,reviewed,nc,nc
2015-01-19T10:45:11.340Z,38.8358333,-122.8051667,2.645,2.71,md,55,106,0.02342,0.04,nc,nc72383111,2017-02-07T02:10:20.640Z,"7km WNW of Cobb, California",earthquake,0.09,0.19,0.211,70,reviewed,nc,nc
2015-01-19T19:57:50.380Z,40.4325,-125.1065,1.401,2.76,md,27,272,0.5874,0.28,nc,nc72383231,2017-02-07T02:11:45.819Z,"73km WSW of Ferndale, California",earthquake,1.61,1.35,0.094,38,reviewed,nc,nc
2015-01-20T21:21:12.469Z,41.8959,-119.6526,10.7,3,ml,5,120.51,0.12,0.142,nn,nn00478214,2018-06-29T23:44:10.174Z,"65km ESE of Lakeview, Oregon",earthquake,,2.3,0.38,5,reviewed,nn,nn
2015-01-20T21:42:33.064Z,41.8858,-119.6287,9.8,3.4,ml,5,124.5,0.141,0.1272,nn,nn00478221,2018-06-29T23:44:11.743Z,"67km ESE of Lakeview, Oregon",earthquake,,3.3,0.23,4,reviewed,nn,nn
2015-01-22T02:05:14.238Z,41.8996,-119.6444,11.5,3.9,ml,9,101.85,0.124,0.1159,nn,nn00478518,2018-06-29T23:44:21.545Z,"66km ESE of Lakeview, Oregon",earthquake,,2.7,0.39,8,reviewed,nn,nn
2015-01-22T04:23:48.235Z,41.8719,-119.6342,7.7,3,ml,5,122.51,0.145,0.1647,nn,nn00478535,2018-06-29T23:44:17.412Z,"68km ESE of Lakeview, Oregon",earthquake,,5,0.51,5,reviewed,nn,nn
